"filename", "language", "vue", "Markdown", "TypeScript", "SCSS", "HTML", "JSON", "YAML", "comment", "blank", "total"
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Plugin\SECONDARY_LLM_API_SPEC.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Plugin\SMART_CONTEXT_SPEC.md", "Markdown", 0, -20, 0, 0, 0, 0, 0, 0, -3, -23
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Plugin\SmartSearch_Integration.md", "Markdown", 0, 78, 0, 0, 0, 0, 0, 0, 29, 107
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\SAVE_SYSTEM_SPEC.md", "Markdown", 0, -70, 0, 0, 0, 0, 0, 0, -19, -89
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\developer\DEVELOPER_CHEATSHEET.md", "Markdown", 0, -223, 0, 0, 0, 0, 0, 0, -112, -335
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\developer\FUSEJS_INTEGRATION.md", "Markdown", 0, 240, 0, 0, 0, 0, 0, 0, 82, 322
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\old\MODULAR_INTEGRATION_SPEC.md", "Markdown", 0, 110, 0, 0, 0, 0, 0, 0, 30, 140
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\old\MODULE_INTERACTION_SPEC.md", "Markdown", 0, 88, 0, 0, 0, 0, 0, 0, 15, 103
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\old\SAVE_SYSTEM_SPEC.md", "Markdown", 0, 70, 0, 0, 0, 0, 0, 0, 19, 89
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\old\VARIABLES_SPEC.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, -4, 8
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\index.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\index.scss", "SCSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\index.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 33, 10, 133
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\modules\setup\types.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 6, 29
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\modules\smartContext\contextLinker.ts", "TypeScript", 0, 0, 115, 0, 0, 0, 0, 6, 15, 136
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\app\apiProfileStore.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 6, 6, 45
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\app\generationStore.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\core\characterStore.ts", "TypeScript", 0, 0, -128, 0, 0, 0, 0, -10, -18, -156
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\core\eventLogStore.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 4, -1, 20
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\core\itemStore.ts", "TypeScript", 0, 0, -131, 0, 0, 0, 0, -5, -24, -160
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\core\worldStore.ts", "TypeScript", 0, 0, 501, 0, 0, 0, 0, 34, 48, 583
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\facades\characterStore.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 3, 7, 35
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\facades\itemStore.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 17, 8, 65
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\modules\searchStore.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 23, 10, 94
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\modules\smartContextStore.ts", "TypeScript", 0, 0, 126, 0, 0, 0, 0, 23, 16, 165
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\achievementStore.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, -1, -4, -17
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\adventureStore.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 11, 5, 36
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\barterStore.ts", "TypeScript", 0, 0, -70, 0, 0, 0, 0, -6, -17, -93
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\mapStore.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 6, 6, 29
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\pokedexStore.ts", "TypeScript", 0, 0, 314, 0, 0, 0, 0, 54, 55, 423
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\questStore.ts", "TypeScript", 0, 0, -23, 0, 0, 0, 0, 3, 1, -19
