"filename", "language", "JSON", "SCSS", "HTML", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\index.html", "HTML", 0, 0, 296, 0, 0, 0, 67, 36, 399
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\index.scss", "SCSS", 0, 475, 0, 0, 0, 0, 34, 83, 592
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\index.ts", "TypeScript", 0, 0, 0, 1837, 0, 0, 47, 258, 2142
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\parser.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 9, 10, 47
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\pokedex-data.json", "JSON", 338, 0, 0, 0, 0, 0, 0, 1, 339
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\pokedex.ts", "TypeScript", 0, 0, 0, 222, 0, 0, 78, 47, 347
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\prompts.md", "Markdown", 0, 0, 0, 0, 224, 0, 0, 55, 279
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\regex-状态栏v0_3_1.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 18
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\regex-隐藏发送的变量.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 18
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\systems.ts", "TypeScript", 0, 0, 0, 292, 0, 0, 28, 33, 353
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\test.html", "HTML", 0, 0, 522, 0, 0, 0, 11, 74, 607
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\version.ts", "TypeScript", 0, 0, 0, 109, 0, 0, 22, 18, 149
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\什么？我要在玄幻修仙世界种田？.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\角色介绍.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 10, 48
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\项目总结和介绍.md", "Markdown", 0, 0, 0, 0, 51, 0, 0, 32, 83
"k:\AiChat\tavern_helper_template\version.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 1, 9
"k:\AiChat\tavern_helper_template\webpack.xuanhuan-0.config.ts", "TypeScript", 0, 0, 0, 231, 0, 0, 0, 10, 241
"Total", "-", 11116, 1630, 8275, 13229, 3773, 70, 1975, 3910, 43978
