"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "YAML", "JSON", "SCSS", "HTML", "JavaScript", "vue", "comment", "blank", "total"
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\story\StoryPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 15, 106
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\AchievementPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 100, 2, 7, 109
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\BarterPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 6, 82
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\QuestItem.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 78, 5, 13, 96
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\QuestTab.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 75, 2, 10, 87
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\RetroactiveSignInPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 16, 85
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\SignInPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 6, 95
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\SkillPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 58, 2, 5, 65
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\SystemTab.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 49, 1, 4, 54
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\team\CharacterCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 98, 5, 11, 114
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\team\RelationsTab.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 52, 1, 5, 58
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\team\TeamTab.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 5, 35
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\world\ShelterComponent.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 3, 35
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\world\ShelterInfo.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 8, 69
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\world\WorldTab.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 6, 48
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\actions.ts", "TypeScript", 0, 0, 129, 0, 0, 0, 0, 0, 0, 30, 31, 190
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\eventManager.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 0, 0, 0, 60, 23, 200
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\definitions.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 70, 20, 155
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\systemHandler.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 2, 15, 87
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\worldChangeHandler.ts", "TypeScript", 0, 0, 99, 0, 0, 0, 0, 0, 0, 7, 19, 125
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\generation.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 20, 7, 57
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\history.ts", "TypeScript", 0, 0, 431, 0, 0, 0, 0, 0, 0, 122, 86, 639
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\logger.ts", "TypeScript", 0, 0, 122, 0, 0, 0, 0, 0, 0, 42, 26, 190
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\parser.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 20, 14, 81
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\pokedex.ts", "TypeScript", 0, 0, 212, 0, 0, 0, 0, 0, 0, 18, 37, 267
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\promptManager.ts", "TypeScript", 0, 0, 239, 0, 0, 0, 0, 0, 0, 46, 50, 335
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\reactiveMessageBus.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 39, 7, 66
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\regexProcessor.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 22, 7, 60
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\renderer.ts", "TypeScript", 0, 0, 297, 0, 0, 0, 0, 0, 0, 49, 56, 402
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\secondaryLlmApi.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 0, 0, 0, 19, 22, 145
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\state.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 11, 3, 17
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\stateUpdater.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 20, 14, 83
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\storeOrchestrator.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 33, 21, 116
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\summarizer.ts", "TypeScript", 0, 0, 94, 0, 0, 0, 0, 0, 0, 26, 25, 145
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\time.ts", "TypeScript", 0, 0, 132, 0, 0, 0, 0, 0, 0, 56, 30, 218
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\update-script.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 33, 16, 135
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\variables.ts", "TypeScript", 0, 0, 322, 0, 0, 0, 0, 0, 0, 109, 60, 491
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\version.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 16, 12, 94
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\genesisMessages.ts", "TypeScript", 0, 0, 412, 0, 0, 0, 0, 0, 0, 8, 100, 520
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\pokedex-data.json", "JSON", 0, 0, 0, 0, 338, 0, 0, 0, 0, 0, 1, 339
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\pokedex-data.ts", "TypeScript", 0, 0, 476, 0, 0, 0, 0, 0, 0, 0, 2, 478
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts-data.ts", "TypeScript", 0, 0, 959, 0, 0, 0, 0, 0, 0, 0, 95, 1054
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\shelter-data.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 5, 4, 110
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\time-data.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 19, 7, 57
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\debug_file\xuanhuan-variable-世界-2025-08-31T11_30_39.730Z.json", "JSON", 0, 0, 0, 0, 597, 0, 0, 0, 0, 0, 0, 597
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\debug_file\xuanhuan-variable-角色-2025-08-31T11_30_58.696Z.json", "JSON", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 137
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Core\CHAT_FLOW_SPEC.md", "Markdown", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 238
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Core\DEBUGGING_SPEC.md", "Markdown", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 239
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Core\ITEM_VALUE_SPEC.md", "Markdown", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 217
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Core\PROMPT_SYSTEM_SPEC.md", "Markdown", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 233
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Core\REACTIVE_STATE_SPEC.md", "Markdown", 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 331
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Core\TIME_SPEC.md", "Markdown", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 104
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\FUTURE_PLANS.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 34
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_ACHIEVEMENT.md", "Markdown", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 130
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_ADVENTURE.md", "Markdown", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 147
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_BARTER.md", "Markdown", 79, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28, 109
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_CHARACTER.md", "Markdown", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 150
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_DIARY.md", "Markdown", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 97
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_MAP.md", "Markdown", 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 174
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_POKEDEX_SPEC.md", "Markdown", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 69
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_QUEST.md", "Markdown", 338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 410
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_RUMOR.md", "Markdown", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 68
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_SHELTER.md", "Markdown", 411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 485
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_SIGNIN.md", "Markdown", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 199
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_SKILL.md", "Markdown", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 123
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_WEATHER.md", "Markdown", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 108
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\HISTORY_SPEC.md", "Markdown", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 112
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\INDEX.md", "Markdown", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 128
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\MODULAR_INTEGRATION_SPEC.md", "Markdown", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 140
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\MODULE_INTERACTION_SPEC.md", "Markdown", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 76
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Plugin\SECONDARY_LLM_API_SPEC.md", "Markdown", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 113
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Plugin\SMART_CONTEXT_SPEC.md", "Markdown", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 175
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\SAVE_SYSTEM_SPEC.md", "Markdown", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 89
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\developer\DEVELOPER_CHEATSHEET.md", "Markdown", 368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 565
